iter	RMSE
0	4414.883761
1	4344.352573
2	4275.413881
3	4208.393338
4	4143.718266
5	4080.007493
6	4018.603587
7	3958.688642
8	3899.726702
9	3842.249826
10	3786.676453
11	3732.038292
12	3679.167432
13	3627.524865
14	3577.780088
15	3528.751465
16	3481.016993
17	3434.395128
18	3389.136889
19	3344.843478
20	3301.703609
21	3259.664019
22	3219.024148
23	3178.566732
24	3139.359981
25	3101.085718
26	3063.749461
27	3027.680782
28	2992.96982
29	2958.803616
30	2925.764618
31	2893.624507
32	2862.034821
33	2831.190254
34	2800.97862
35	2772.025154
36	2744.036442
37	2716.800931
38	2690.393422
39	2664.307751
40	2639.31317
41	2614.700482
42	2591.042761
43	2567.815777
44	2545.503985
45	2523.877236
46	2502.470184
47	2481.801406
48	2461.508754
49	2441.57187
50	2422.648106
51	2404.451493
52	2386.099639
53	2368.62578
54	2351.750931
55	2335.025999
56	2319.38851
57	2304.089242
58	2288.913872
59	2273.729783
60	2260.107208
61	2246.001675
62	2232.338693
63	2219.277968
64	2206.498209
65	2194.471495
66	2182.558046
67	2170.7037
68	2159.172378
69	2147.832857
70	2137.092093
71	2126.657845
72	2116.42158
73	2105.470917
74	2094.991212
75	2085.056254
76	2076.090145
77	2067.027071
78	2057.648454
79	2048.552091
80	2040.167745
81	2031.96661
82	2024.437772
83	2016.788691
84	2009.482385
85	2002.101568
86	1995.161955
87	1989.03545
88	1982.372261
89	1975.772629
90	1969.509428
91	1963.305011
92	1957.474222
93	1951.253231
94	1945.725876
95	1940.487853
96	1935.103463
97	1930.118541
98	1925.249842
99	1920.201053
100	1915.089822
101	1909.730443
102	1905.429625
103	1900.990512
104	1896.78913
105	1892.707904
106	1888.764751
107	1884.790959
108	1880.977315
109	1877.024669
110	1873.464963
111	1869.869466
112	1866.467862
113	1862.7648
114	1859.151288
115	1855.495072
116	1852.388781
117	1849.341475
118	1846.257553
119	1843.142306
120	1840.351657
121	1837.583228
122	1834.280933
123	1831.674405
124	1829.068676
125	1826.459731
126	1823.551424
127	1821.229264
128	1819.004861
129	1816.421576
130	1814.101486
131	1811.958958
132	1809.592302
133	1807.464658
134	1805.433082
135	1803.160848
136	1801.121071
137	1799.17972
138	1796.976665
139	1794.538184
140	1792.801043
141	1790.997168
142	1789.36711
143	1787.256524
144	1785.643527
145	1783.880093
146	1782.081455
147	1780.547972
148	1778.759521
149	1777.255616
150	1775.698776
151	1774.309201
152	1772.90294
153	1771.458055
154	1770.114015
155	1768.545109
156	1767.128625
157	1765.703953
158	1764.210387
159	1763.129017
160	1761.859478
161	1760.624379
162	1759.624966
163	1758.494275
164	1756.86248
165	1755.580794
166	1754.258953
167	1752.952638
168	1751.667493
169	1750.224471
170	1749.023116
171	1747.832932
172	1746.671348
173	1745.688271
174	1744.753762
175	1743.744727
176	1742.532738
177	1741.381768
178	1740.36016
179	1739.173844
180	1738.052544
181	1737.208906
182	1736.296855
183	1735.378132
184	1734.563792
185	1733.276127
186	1732.31533
187	1731.429842
188	1730.592062
189	1729.529
190	1728.811362
191	1727.985207
192	1727.049466
193	1726.293145
194	1725.512872
195	1724.883902
196	1724.064073
197	1723.148715
198	1722.276548
199	1721.294155
200	1720.398957
201	1719.551764
202	1718.839721
203	1717.724525
204	1717.042177
205	1715.998748
206	1715.244201
207	1714.274979
208	1713.347278
209	1712.499122
210	1711.885351
211	1711.029807
212	1710.355361
213	1709.546427
214	1708.927838
215	1708.172162
216	1707.512859
217	1706.955798
218	1706.210079
219	1705.555012
220	1705.037817
221	1704.161149
222	1703.565452
223	1702.97955
224	1702.363656
225	1701.824238
226	1701.179653
227	1700.476101
228	1699.886359
229	1699.324176
230	1698.715982
231	1698.151791
232	1697.478405
233	1696.922684
234	1696.569637
235	1695.941755
236	1695.430981
237	1694.747699
238	1694.037375
239	1693.427669
240	1692.986657
241	1692.486838
242	1691.903374
243	1691.313278
244	1690.791339
245	1690.269627
246	1689.680822
247	1689.161172
248	1688.506165
249	1687.736532
250	1687.137133
251	1686.604345
252	1686.18774
253	1685.795286
254	1685.196752
255	1684.708468
256	1684.201679
257	1683.628732
258	1683.154008
259	1682.716611
260	1682.365646
261	1681.801347
262	1681.377549
263	1681.024589
264	1680.287718
265	1679.930005
266	1679.482639
267	1679.061612
268	1678.46505
269	1677.928102
270	1677.508092
271	1676.960679
272	1676.469058
273	1676.049777
274	1675.703594
275	1675.366804
276	1674.919001
277	1674.391561
278	1673.858866
279	1673.365629
280	1673.090641
281	1672.451202
282	1671.792627
283	1671.249067
284	1670.866359
285	1670.388636
286	1669.860471
287	1669.463943
288	1669.168056
289	1668.756836
290	1668.425084
291	1667.956876
292	1667.458671
293	1667.000175
294	1666.443806
295	1666.055589
296	1665.627707
297	1665.295333
298	1664.809635
299	1664.570866
300	1664.182212
301	1663.711786
302	1663.309932
303	1662.943208
304	1662.597842
305	1662.183183
306	1661.680329
307	1661.273487
308	1661.028845
309	1660.688132
310	1660.233134
311	1659.792302
312	1659.378916
313	1658.935093
314	1658.592369
315	1658.141855
316	1657.593185
317	1657.161932
318	1656.857283
319	1656.520458
320	1656.105702
321	1655.70311
322	1655.387109
323	1655.043017
324	1654.745898
325	1654.306614
326	1653.859607
327	1653.513612
328	1653.110389
329	1652.858989
330	1652.535545
331	1652.288419
332	1651.820873
333	1651.539758
334	1651.212802
335	1650.913802
336	1650.576797
337	1650.238056
338	1649.798763
339	1649.306356
340	1648.923166
341	1648.440355
342	1648.063484
343	1647.831036
344	1647.541445
345	1647.195079
346	1646.921052
347	1646.625093
348	1646.273996
349	1645.92999
350	1645.653284
351	1645.091766
352	1644.670621
353	1644.308746
354	1643.917853
355	1643.567852
356	1643.287718
357	1642.832926
358	1642.492588
359	1642.070856
360	1641.790147
361	1641.391389
362	1641.203832
363	1640.986465
364	1640.626733
365	1640.272354
366	1639.890009
367	1639.517727
368	1639.220351
369	1638.974736
370	1638.636955
371	1638.307984
372	1638.046951
373	1637.585022
374	1637.241992
375	1637.038028
376	1636.612809
377	1636.425585
378	1635.9491
379	1635.739207
380	1635.365258
381	1635.136696
382	1634.94257
383	1634.760204
384	1634.506142
385	1634.146106
386	1633.797139
387	1633.479548
388	1633.162858
389	1632.863844
390	1632.637661
391	1632.29608
392	1632.012967
393	1631.592945
394	1631.32433
395	1630.99067
396	1630.715608
397	1630.474016
398	1630.312855
399	1629.992897
400	1629.659848
401	1629.411666
402	1629.126926
403	1628.961448
404	1628.723136
405	1628.593668
406	1628.387414
407	1627.892234
408	1627.588869
409	1627.363403
410	1627.22086
411	1627.015076
412	1626.793316
413	1626.561133
414	1626.309657
415	1626.10255
416	1625.875023
417	1625.659557
418	1625.357711
419	1624.965485
420	1624.615757
421	1624.352686
422	1624.150815
423	1623.915349
424	1623.598327
425	1623.179518
426	1622.922754
427	1622.710934
428	1622.416294
429	1621.942561
430	1621.684227
431	1621.392472
432	1621.095976
433	1620.852869
434	1620.5811
435	1620.293029
436	1619.896179
437	1619.69076
438	1619.322169
439	1619.168639
440	1619.007
441	1618.722372
442	1618.402066
443	1618.241322
444	1617.885685
445	1617.651332
446	1617.402036
447	1617.21899
448	1616.941585
449	1616.781507
450	1616.62433
451	1616.258851
452	1616.115896
453	1615.820216
454	1615.619307
455	1615.275425
456	1615.185447
457	1614.901769
458	1614.652861
459	1614.46999
460	1614.157851
461	1613.898921
462	1613.720269
463	1613.443237
464	1613.271439
465	1612.836785
466	1612.555538
467	1612.399982
468	1612.164425
469	1611.864117
470	1611.747768
471	1611.592865
472	1611.416966
473	1611.248775
474	1611.016629
475	1610.887934
476	1610.658665
477	1610.493567
478	1610.309085
479	1610.092024
480	1609.958289
481	1609.719362
482	1609.551889
483	1609.352967
484	1609.190586
485	1608.963519
486	1608.71304
487	1608.552957
488	1608.344296
489	1608.171138
490	1608.04409
491	1607.895596
492	1607.585442
493	1607.474733
494	1607.333036
495	1607.164254
496	1607.046177
497	1606.797928
498	1606.649808
499	1606.475488
500	1606.2451
501	1605.927854
502	1605.748315
503	1605.455296
504	1605.277337
505	1605.035999
506	1604.78507
507	1604.537369
508	1604.360615
509	1604.097326
510	1603.867086
511	1603.595217
512	1603.316354
513	1603.191536
514	1602.939174
515	1602.800019
516	1602.619393
517	1602.420183
518	1602.248593
519	1602.151422
520	1601.961315
521	1601.807839
522	1601.608773
523	1601.34585
524	1601.179874
525	1600.921301
526	1600.814471
527	1600.649751
528	1600.475842
529	1600.313298
530	1600.099713
531	1599.816145
532	1599.699165
533	1599.376442
534	1599.217391
535	1598.999398
536	1598.840556
537	1598.675386
538	1598.593983
539	1598.4169
540	1598.240452
541	1598.025607
542	1597.876755
543	1597.722559
544	1597.582621
545	1597.383193
546	1597.238548
547	1596.943312
548	1596.70293
549	1596.61445
550	1596.500108
551	1596.289872
552	1596.133141
553	1595.904462
554	1595.811503
555	1595.420146
556	1595.197855
557	1595.118411
558	1594.966413
559	1594.720474
560	1594.508113
561	1594.324082
562	1594.186065
563	1593.98728
564	1593.658055
565	1593.428034
566	1593.363553
567	1593.212457
568	1593.0713
569	1592.806228
570	1592.716132
571	1592.579128
572	1592.350844
573	1592.287061
574	1592.105571
575	1591.89352
576	1591.633603
577	1591.332303
578	1591.224746
579	1591.046596
580	1590.897586
581	1590.781268
582	1590.665765
583	1590.423034
584	1590.226828
585	1590.122576
586	1589.988563
587	1589.803184
588	1589.582416
589	1589.490819
590	1589.215419
591	1589.051228
592	1588.944012
593	1588.785979
594	1588.548653
595	1588.390993
596	1588.142798
597	1588.035934
598	1587.931043
599	1587.780667
600	1587.583887
601	1587.37214
602	1587.190914
603	1586.986464
604	1586.914454
605	1586.767286
606	1586.632577
607	1586.513798
608	1586.450358
609	1586.366924
610	1586.241847
611	1586.043801
612	1585.840608
613	1585.702679
614	1585.542505
615	1585.432241
616	1585.21971
617	1584.999958
618	1584.87593
619	1584.580541
620	1584.426125
621	1584.272605
622	1584.127425
623	1583.968085
624	1583.73103
625	1583.616751
626	1583.334534
627	1583.202016
628	1583.04101
629	1582.736335
630	1582.663718
631	1582.499261
632	1582.375452
633	1582.201274
634	1582.031799
635	1581.921622
636	1581.648384
637	1581.491362
638	1581.321645
639	1581.230398
640	1581.16285
641	1580.994342
642	1580.742084
643	1580.509934
644	1580.33157
645	1580.148542
646	1580.028115
647	1579.882131
648	1579.762845
649	1579.611277
650	1579.480438
651	1579.392819
652	1579.336394
653	1579.240386
654	1579.180969
655	1579.049845
656	1578.9666
657	1578.85098
658	1578.651427
659	1578.603029
660	1578.336107
661	1578.206823
662	1577.985429
663	1577.832362
664	1577.648961
665	1577.411122
666	1577.220111
667	1577.032899
668	1576.808182
669	1576.647852
670	1576.470798
671	1576.303616
672	1576.215404
673	1576.067321
674	1575.940844
675	1575.779844
676	1575.507287
677	1575.407634
678	1575.302734
679	1575.133682
680	1575.083096
681	1574.960367
682	1574.606857
683	1574.345834
684	1574.220051
685	1574.052298
686	1573.871454
687	1573.731227
688	1573.551429
689	1573.378856
690	1573.241168
691	1573.062313
692	1572.939844
693	1572.868524
694	1572.758622
695	1572.645546
696	1572.555129
697	1572.488875
698	1572.305434
699	1572.090712
700	1571.960164
701	1571.848864
702	1571.75715
703	1571.623656
704	1571.397582
705	1571.175396
706	1571.011488
707	1570.899287
708	1570.832713
709	1570.663847
710	1570.507146
711	1570.402419
712	1570.317798
713	1570.107561
714	1570.023926
715	1569.930938
716	1569.76306
717	1569.594913
718	1569.524694
719	1569.408963
720	1569.221487
721	1569.06389
722	1568.926742
723	1568.835777
724	1568.677222
725	1568.453815
726	1568.323298
727	1568.17848
728	1567.996624
729	1567.876685
730	1567.730655
731	1567.494071
732	1567.27409
733	1567.015944
734	1566.810701
735	1566.72346
736	1566.572639
737	1566.490739
738	1566.439037
739	1566.171214
740	1566.025695
741	1565.72541
742	1565.585291
743	1565.465167
744	1565.31121
745	1565.12944
746	1564.958953
747	1564.84657
748	1564.772787
749	1564.565575
750	1564.385812
751	1564.208123
752	1564.109426
753	1564.068119
754	1563.924751
755	1563.831986
756	1563.724382
757	1563.623727
758	1563.492891
759	1563.352991
760	1563.173508
761	1563.045988
762	1562.910827
763	1562.844668
764	1562.731796
765	1562.553416
766	1562.49219
767	1562.433143
768	1562.263788
769	1562.06782
770	1561.842545
771	1561.719615
772	1561.655252
773	1561.494877
774	1561.215545
775	1561.13731
776	1561.071327
777	1560.91912
778	1560.84129
779	1560.717106
780	1560.639517
781	1560.507927
782	1560.30166
783	1560.191041
784	1560.120314
785	1559.957933
786	1559.780916
787	1559.650514
788	1559.505899
789	1559.318746
790	1559.160063
791	1559.009267
792	1558.949247
793	1558.798514
794	1558.613125
795	1558.500704
796	1558.29476
797	1558.205109
798	1558.117554
799	1557.981798
800	1557.849983
801	1557.72514
802	1557.630071
803	1557.557124
804	1557.445805
805	1557.383285
806	1557.271027
807	1557.109023
808	1556.900874
809	1556.816109
810	1556.754236
811	1556.7374
812	1556.691351
813	1556.553281
814	1556.458646
815	1556.351121
816	1556.21959
817	1556.08771
818	1555.941922
819	1555.852893
820	1555.756193
821	1555.653169
822	1555.467153
823	1555.339759
824	1555.257015
825	1555.141402
826	1554.995694
827	1554.926079
828	1554.851405
829	1554.709968
830	1554.607634
831	1554.532606
832	1554.330858
833	1554.231365
834	1554.070393
835	1553.983449
836	1553.879296
837	1553.727228
838	1553.598932
839	1553.487414
840	1553.317843
841	1553.238957
842	1553.155088
843	1553.085391
844	1552.982275
845	1552.892738
846	1552.806741
847	1552.643764
848	1552.58679
849	1552.464985
850	1552.368074
851	1552.2758
852	1552.15853
853	1552.095627
854	1552.031287
855	1551.93722
856	1551.790451
857	1551.773392
858	1551.662671
859	1551.542482
860	1551.488931
861	1551.288983
862	1551.238633
863	1551.159979
864	1551.058255
865	1550.947315
866	1550.835268
867	1550.800621
868	1550.668449
869	1550.598894
870	1550.457154
871	1550.351242
872	1550.244224
873	1550.153515
874	1550.069987
875	1549.969206
876	1549.758661
877	1549.651349
878	1549.54961
879	1549.427059
880	1549.291894
881	1549.21035
882	1549.131339
883	1549.028044
884	1548.891321
885	1548.765841
886	1548.657359
887	1548.483536
888	1548.392385
889	1548.248327
890	1548.108319
891	1548.031876
892	1547.983113
893	1547.86628
894	1547.733773
895	1547.68009
896	1547.602948
897	1547.489389
898	1547.385814
899	1547.278676
900	1547.192282
901	1547.085384
902	1546.974752
903	1546.817006
904	1546.674157
905	1546.539769
906	1546.463418
907	1546.325791
908	1546.247649
909	1546.135685
910	1546.070927
911	1545.871212
912	1545.829417
913	1545.724714
914	1545.566926
915	1545.372148
916	1545.340686
917	1545.200669
918	1544.992783
919	1544.876317
920	1544.820837
921	1544.611118
922	1544.528139
923	1544.431578
924	1544.350032
925	1544.20339
926	1544.152385
927	1544.014212
928	1543.891561
929	1543.806675
930	1543.626702
931	1543.511916
932	1543.460548
933	1543.327324
934	1543.281045
935	1543.222281
936	1543.054895
937	1542.992385
938	1542.868634
939	1542.790402
940	1542.704352
941	1542.497063
942	1542.42612
943	1542.385507
944	1542.274962
945	1542.19823
946	1542.033027
947	1541.914978
948	1541.810774
949	1541.640854
950	1541.485198
951	1541.38088
952	1541.310141
953	1541.209978
954	1541.022898
955	1540.869986
956	1540.757121
957	1540.616773
958	1540.424602
959	1540.335952
960	1540.297411
961	1540.17106
962	1540.003937
963	1539.853307
964	1539.759773
965	1539.617801
966	1539.509867
967	1539.437169
968	1539.342247
969	1539.23208
970	1539.111005
971	1539.006782
972	1538.96131
973	1538.850945
974	1538.708549
975	1538.584708
976	1538.488797
977	1538.362638
978	1538.280855
979	1538.15502
980	1538.079701
981	1537.861223
982	1537.714389
983	1537.656946
984	1537.542993
985	1537.460911
986	1537.375074
987	1537.311396
988	1537.16485
989	1536.97455
990	1536.789939
991	1536.692722
992	1536.623387
993	1536.481552
994	1536.402143
995	1536.32162
996	1536.222753
997	1536.099479
998	1535.997184
999	1535.883193
