iter	Passed	Remaining
0	91	90987
1	179	89576
2	266	88654
3	350	87346
4	432	86043
5	511	84656
6	590	83737
7	676	83856
8	764	84128
9	847	83936
10	928	83509
11	1014	83540
12	1099	83464
13	1179	83035
14	1256	82508
15	1341	82486
16	1420	82145
17	1499	81833
18	1579	81545
19	1659	81337
20	1743	81257
21	1826	81175
22	1907	81010
23	2003	81486
24	2083	81269
25	2176	81539
26	2267	81711
27	2358	81875
28	2446	81903
29	2531	81850
30	2606	81470
31	2692	81434
32	2775	81342
33	2864	81373
34	2946	81245
35	3018	80832
36	3101	80723
37	3176	80410
38	3254	80205
39	3337	80105
40	3416	79915
41	3490	79620
42	3572	79507
43	3654	79403
44	3736	79305
45	3817	79168
46	3888	78847
47	3968	78715
48	4055	78716
49	4137	78606
50	4213	78410
51	4297	78352
52	4386	78381
53	4456	78065
54	4543	78060
55	4616	77822
56	4698	77732
57	4777	77589
58	4854	77428
59	4936	77334
60	5026	77375
61	5105	77236
62	5182	77081
63	5254	76846
64	5340	76828
65	5423	76754
66	5506	76682
67	5585	76552
68	5659	76362
69	5738	76245
70	5821	76166
71	5904	76103
72	5992	76097
73	6069	75947
74	6147	75815
75	6226	75700
76	6305	75581
77	6382	75447
78	6458	75289
79	6535	75157
80	6619	75099
81	6698	74992
82	6772	74823
83	6851	74717
84	6932	74622
85	7007	74479
86	7087	74377
87	7179	74408
88	7258	74297
89	7337	74188
90	7411	74036
91	7488	73905
92	7566	73796
93	7644	73676
94	7719	73536
95	7793	73391
96	7868	73252
97	7952	73198
98	8033	73109
99	8113	73023
100	8187	72873
101	8255	72684
102	8342	72656
103	8427	72606
104	8511	72551
105	8589	72444
106	8670	72359
107	8756	72319
108	8831	72189
109	8908	72079
110	8981	71935
111	9062	71853
112	9152	71844
113	9230	71737
114	9312	71667
115	9391	71567
116	9476	71515
117	9550	71389
118	9622	71236
119	9701	71141
120	9777	71028
121	9866	71004
122	9953	70970
123	10029	70855
124	10117	70824
125	10209	70814
126	10279	70662
127	10365	70612
128	10443	70512
129	10518	70394
130	10597	70296
131	10677	70209
132	10759	70135
133	10842	70070
134	10912	69923
135	10996	69862
136	11080	69797
137	11161	69719
138	11244	69651
139	11327	69583
140	11410	69514
141	11493	69447
142	11579	69396
143	11644	69217
144	11725	69141
145	11800	69027
146	11879	68931
147	11958	68844
148	12050	68824
149	12134	68761
150	12205	68628
151	12285	68539
152	12369	68478
153	12460	68449
154	12537	68346
155	12613	68244
156	12694	68160
157	12771	68060
158	12854	67991
159	12928	67875
160	13001	67754
161	13082	67671
162	13161	67584
163	13234	67463
164	13318	67397
165	13395	67301
166	13470	67190
167	13556	67138
168	13639	67069
169	13717	66973
170	13795	66879
171	13869	66766
172	13938	66629
173	14029	66598
174	14107	66504
175	14187	66424
176	14258	66297
177	14346	66251
178	14417	66125
179	14493	66025
180	14561	65888
181	14642	65809
182	14723	65730
183	14794	65609
184	14874	65526
185	14945	65408
186	15028	65339
187	15108	65256
188	15180	65139
189	15260	65058
190	15346	65001
191	15421	64897
192	15502	64819
193	15577	64718
194	15660	64648
195	15746	64593
196	15839	64564
197	15928	64518
198	16006	64428
199	16082	64328
200	16158	64230
201	16239	64155
202	16323	64088
203	16397	63982
204	16474	63890
205	16547	63778
206	16626	63693
207	16699	63586
208	16775	63490
209	16854	63405
210	16932	63317
211	17007	63217
212	17096	63170
213	17169	63062
214	17245	62965
215	17322	62872
216	17400	62785
217	17480	62706
218	17552	62597
219	17631	62511
220	17707	62415
221	17779	62308
222	17864	62244
223	17944	62163
224	18022	62076
225	18099	61985
226	18178	61902
227	18256	61817
228	18334	61729
229	18408	61628
230	18485	61537
231	18565	61457
232	18629	61325
233	18706	61234
234	18789	61165
235	18864	61070
236	18938	60969
237	19014	60876
238	19082	60760
239	19168	60699
240	19259	60654
241	19338	60571
242	19408	60461
243	19486	60376
244	19564	60291
245	19643	60206
246	19716	60106
247	19795	60024
248	19876	59948
249	19951	59853
250	20016	59731
251	20098	59656
252	20184	59595
253	20258	59498
254	20344	59437
255	20419	59343
256	20506	59284
257	20579	59187
258	20658	59103
259	20737	59021
260	20813	58932
261	20890	58844
262	20961	58739
263	21044	58668
264	21121	58583
265	21200	58499
266	21272	58400
267	21355	58327
268	21426	58225
269	21509	58154
270	21584	58062
271	21667	57992
272	21753	57928
273	21828	57837
274	21912	57768
275	21998	57705
276	22079	57628
277	22149	57525
278	22229	57446
279	22303	57351
280	22384	57276
281	22447	57154
282	22528	57077
283	22608	56998
284	22693	56932
285	22756	56812
286	22829	56715
287	22907	56632
288	22985	56549
289	23054	56442
290	23128	56351
291	23198	56249
292	23263	56134
293	23341	56050
294	23423	55977
295	23524	55948
296	23598	55856
297	23661	55738
298	23748	55678
299	23826	55594
300	23908	55521
301	23973	55408
302	24057	55339
303	24137	55261
304	24214	55178
305	24292	55095
306	24364	54998
307	24440	54911
308	24550	54901
309	24636	54835
310	24715	54755
311	24792	54670
312	24865	54577
313	24944	54496
314	25028	54427
315	25094	54319
316	25160	54210
317	25236	54122
318	25323	54061
319	25398	53972
320	25465	53866
321	25555	53808
322	25638	53737
323	25713	53650
324	25798	53582
325	25878	53503
326	25954	53417
327	26032	53333
328	26108	53247
329	26178	53150
330	26256	53067
331	26339	52996
332	26418	52916
333	26491	52824
334	26563	52731
335	26652	52670
336	26728	52584
337	26794	52479
338	26869	52392
339	26933	52283
340	27025	52227
341	27096	52132
342	27163	52030
343	27247	51960
344	27337	51900
345	27415	51819
346	27490	51733
347	27558	51632
348	27640	51557
349	27712	51466
350	27798	51399
351	27868	51303
352	27941	51212
353	28021	51134
354	28102	51060
355	28185	50986
356	28252	50885
357	28320	50787
358	28391	50693
359	28466	50607
360	28561	50555
361	28630	50459
362	28718	50396
363	28794	50311
364	28875	50235
365	28955	50157
366	29036	50081
367	29096	49970
368	29175	49890
369	29255	49813
370	29331	49728
371	29405	49641
372	29489	49570
373	29558	49474
374	29635	49393
375	29714	49313
376	29789	49227
377	29863	49140
378	29939	49057
379	30022	48983
380	30101	48904
381	30178	48823
382	30237	48711
383	30324	48645
384	30402	48565
385	30483	48488
386	30564	48413
387	30645	48337
388	30723	48257
389	30797	48171
390	30881	48099
391	30962	48022
392	31045	47951
393	31124	47871
394	31198	47785
395	31274	47701
396	31350	47618
397	31431	47542
398	31503	47451
399	31574	47361
400	31648	47274
401	31714	47177
402	31793	47098
403	31869	47014
404	31947	46935
405	32017	46843
406	32109	46783
407	32181	46694
408	32260	46615
409	32340	46538
410	32415	46454
411	32497	46379
412	32581	46308
413	32672	46246
414	32742	46154
415	32830	46089
416	32909	46010
417	32982	45922
418	33072	45859
419	33145	45771
420	33234	45707
421	33312	45627
422	33377	45528
423	33445	45435
424	33531	45366
425	33605	45280
426	33675	45190
427	33767	45127
428	33839	45040
429	33906	44946
430	33982	44862
431	34063	44787
432	34148	44717
433	34214	44620
434	34276	44520
435	34349	44434
436	34421	44345
437	34498	44265
438	34570	44178
439	34647	44097
